CHARLPLAMR  1845   8  38   8  64   8  30   8  10   8  40   8 417   8 591-999-999  78PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1846   8  37   8  69   8  30   8  11   8  40   8 410   8 620-999-999  79PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1847  10  36  10  67  10  50  10  16  10  66  10 408  10 598-999-999  80PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1848  11  39  11  67  11  36  11  12  11  48  11 420  11 616-999-999  81PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1849  11  38  11  62  11  32  11  11  11  42  11 410  11 566-999-999  82PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1850  11  34  11  67  11  41  11  10  11  51  11 385  11 602-999-999  83PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1851  13  37  13  63  13  29  13  10  13  40  13 398  13 577-999-999  84PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1852  13  37  13  72  13  41  13  12  13  53  13 419  13 648-999-999  85PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1853  13  38  13  74  13  38  13  19  13  57  13 437  13 663-999-999  86PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1854  14  39  14  74  14  44  14  13  14  57  14 437  14 661-999-999  87PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1855  14  39  14  67  14  36  14  14  14  50  14 432  14 610-999-999  88PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1856  15  38  15  79  15  34  15  14  15  49  15 434  15 701-999-999  89PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1857  15  36  15  74  15  40  15  12  15  52  15 406  15 659-999-999  90PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1858  15  38  15  71  15  40  15  16  15  56  15 432  15 644-999-999  91PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1859  15  38  15  70  15  39  15  15  15  54  15 422  15 637-999-999  92PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1860  15  38  15  68  15  27  15   8  15  35  15 419  15 622-999-999  93PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1861  15  38  15  74  15  39  15  11  15  50  15 418  15 663-999-999  94PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1862  15  38  15  72  15  36  15  12  15  47  15 426  15 654-999-999  95PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1863  15  38  15  68  15  33  15  12  15  45  15 424  15 622-999-999  96PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1864  15  36  15  64  15  40  15  15  15  55  15 398  15 580-999-999  97PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1865  16  35  16  66  16  34  16  12  16  46  16 387  16 598-999-999  98PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1866  16  36  16  75  16  41  16  11  16  52  16 405  16 677-999-999  99PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1867  16  37  16  73  16  34  16  12  16  46  16 412  16 664-999-999 100PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1868  16  38  16  75  16  35  16  13  16  48  16 429  16 673-999-999 101PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1869  16  36  16  72  16  27  16  11  16  38  16 414  16 653-999-999 102PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1870  16  37  16  71  16  40  16  13  16  54  16 412  16 648-999-999 103PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1871  17  36  17  71  17  37  17  14  17  51  17 413  17 644-999-999 104PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1872  18  39  18  72  18  30  18  12  18  42  18 433  18 654-999-999 105PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1873  18  38  18  73  18  34  18  15  18  48  18 425  18 659-999-999 106PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1874  18  37  18  72  18  29  18   9  18  38  18 423  18 650-999-999 107PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1875  18  37  18  75  18  49  18  11  18  60  18 410  18 675-999-999 108PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1876  18  39  18  73  18  33  18  10  18  43  18 425  18 659-999-999 109PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1877  18  36  18  74  18  42  18  14  18  56  18 417  18 666-999-999 110PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1878  19  37  19  77  19  52  19  16  19  67  19 422  19 687-999-999 111PCMA0197Charlie Lake, CDN  832  
